Phenazine,Strain,Condition,Replicate,Material,Day,RT,Area,Channel Name,Amount,calcConc
PCN,WT,none,1,agar,D3,8.808,282021,364.0nm,19.642,62.8544
PYO,WT,none,2,agar,D3,5.957,29846,313.0nm,0.964,3.0848
PCN,WT,none,2,agar,D3,8.803,377245,364.0nm,26.274,84.0768
PCA,WT,none,2,agar,D3,3.047,117739,364.0nm,7.495,23.984
PYO,WT,none,3,agar,D3,5.948,28590,313.0nm,0.923,2.9536000000000002
PCN,WT,none,3,agar,D3,8.792,254746,364.0nm,17.742,56.77440000000001
PCA,WT,none,3,agar,D3,3.052,105435,364.0nm,6.712,21.4784
PYO,WT,DNase,1,agar,D4,5.963,13770,313.0nm,0.445,1.4240000000000002
PCA,WT,DNase,1,agar,D4,3.066,42599,364.0nm,2.712,8.678400000000002
PCN,WT,DNase,1,agar,D4,8.807,117981,364.0nm,8.217,26.294400000000003
PYO,WT,DNase,2,agar,D4,5.967,9463,313.0nm,0.306,0.9792000000000001
PCA,WT,DNase,2,agar,D4,3.065,34587,364.0nm,2.202,7.0464
PCN,WT,DNase,2,agar,D4,8.812,100344,364.0nm,6.989,22.364800000000002
PYO,WT,DNase,3,agar,D4,5.964,10533,313.0nm,0.34,1.088
PCA,WT,DNase,3,agar,D4,3.105,36801,364.0nm,2.343,7.4976
PCN,WT,DNase,3,agar,D4,8.803,111355,364.0nm,7.755,24.816000000000003
PYO,WT,none,1,agar,D4,5.971,15508,313.0nm,0.501,1.6032000000000002
PCA,WT,none,1,agar,D4,3.054,43066,364.0nm,2.742,8.7744
PCN,WT,none,1,agar,D4,8.815,75035,364.0nm,5.226,16.723200000000002
PYO,WT,none,2,agar,D4,5.968,12382,313.0nm,0.4,1.2800000000000002
PCA,WT,none,2,agar,D4,3.06,40419,364.0nm,2.573,8.233600000000001
PCN,WT,none,2,agar,D4,8.814,101441,364.0nm,7.065,22.608000000000004
PYO,WT,none,3,agar,D4,5.964,11287,313.0nm,0.364,1.1648
PCA,WT,none,3,agar,D4,3.059,37847,364.0nm,2.409,7.7088
PCN,WT,none,3,agar,D4,8.811,121366,364.0nm,8.453,27.049599999999998
PYO,dPHZstar,100nMPYO,1,agar,D4,5.799,10938,313.0nm,0.353,1.1296
PYO,dPHZstar,1uMPYO,1,agar,D4,5.81,10760,313.0nm,0.347,1.1104
PYO,dPHZstar,10uMPYO,1,agar,D4,5.959,63066,313.0nm,2.037,6.5184
PYO,dPHZstar,50uMPYO,1,agar,D4,5.952,367698,313.0nm,11.874,37.9968
PCA,dPHZstar,50uMPYO,1,agar,D4,3.983,678,364.0nm,0.043,0.1376
PYO,dPHZstar,100uMPYO,1,agar,D4,5.954,718496,313.0nm,23.202,74.24640000000001
PCA,dPHZstar,100uMPYO,1,agar,D4,3.988,963,364.0nm,0.061,0.1952
PYO,dPHZstar,200uMPYO,1,agar,D4,5.966,1616920,313.0nm,52.214,167.0848
PYO,blanks,NA,NA,NA,NA,5.972,1936,313.0nm,0.063,NA
PYO,blanks,NA,NA,NA,NA,5.969,1393,313.0nm,0.045,NA
PYO,WT,DNase,2,cells,D4,5.942,75064,313.0nm,2.424,69.488
PCA,WT,DNase,2,cells,D4,3.132,9362,364.0nm,0.596,17.085333333333335
PCN,WT,DNase,2,cells,D4,8.789,285936,364.0nm,19.915,570.8966666666666
PYO,WT,DNase,3,cells,D4,5.949,77070,313.0nm,2.489,71.35133333333333
PCA,WT,DNase,3,cells,D4,3.119,8611,364.0nm,0.548,15.709333333333335
PCN,WT,DNase,3,cells,D4,8.797,283951,364.0nm,19.776,566.912
PYO,WT,none,1,cells,D4,5.957,102908,313.0nm,3.323,95.25933333333333
PCA,WT,none,1,cells,D4,3.113,13782,364.0nm,0.877,25.140666666666668
PCN,WT,none,1,cells,D4,8.804,306236,364.0nm,21.328,611.4026666666666
PYO,WT,none,2,cells,D4,5.946,98479,313.0nm,3.18,91.16000000000001
PCA,WT,none,2,cells,D4,3.1,9417,364.0nm,0.599,17.171333333333333
PCN,WT,none,2,cells,D4,8.792,301514,364.0nm,20.999,601.9713333333333
PYO,WT,none,3,cells,D4,5.931,86539,313.0nm,2.795,80.12333333333333
PCA,WT,none,3,cells,D4,3.092,10222,364.0nm,0.651,18.662000000000003
PCN,WT,none,3,cells,D4,8.778,315202,364.0nm,21.953,629.3193333333334
PYO,dPHZstar,0.1uMPYO,1,cells,D4,5.787,2753,313.0nm,0.089,2.5513333333333335
PCA,dPHZstar,0.1uMPYO,1,cells,D4,3.966,2024,364.0nm,0.129,3.6980000000000004
PYO,dPHZstar,1uMPYO,1,cells,D4,5.795,2455,313.0nm,0.079,2.264666666666667
PCA,dPHZstar,1uMPYO,1,cells,D4,3.977,2109,364.0nm,0.134,3.841333333333334
PYO,dPHZstar,10uMPYO,1,cells,D4,5.959,49700,313.0nm,1.605,46.01
PCA,dPHZstar,10uMPYO,1,cells,D4,3.974,2098,364.0nm,0.134,3.841333333333334
PYO,dPHZstar,50uMPYO,1,cells,D4,5.948,373952,313.0nm,12.076,346.1786666666667
PYO,dPHZstar,100uMPYO,1,cells,D4,5.948,651684,313.0nm,21.044,603.2613333333334
PYO,dPHZstar,200uMPYO,1,cells,D4,5.954,1036019,313.0nm,33.455,959.0433333333333
PYO,parsekWT,none,1,cells,D4,5.947,204868,313.0nm,6.616,189.65866666666668
PCN,parsekWT,none,1,cells,D4,8.789,277280,364.0nm,19.312,553.6106666666667
PCA,parsekWT,none,1,cells,D4,3.082,9295,364.0nm,0.592,16.970666666666666
PYO,parsekWT,none,2,cells,D4,5.95,332880,313.0nm,10.749,308.13800000000003
PCN,parsekWT,none,2,cells,D4,8.793,304472,364.0nm,21.205,607.8766666666667
PCA,parsekWT,none,2,cells,D4,3.093,10676,364.0nm,0.68,19.493333333333336
PYO,parsekWT,none,3,cells,D4,5.937,236990,313.0nm,7.653,219.386
PCN,parsekWT,none,3,cells,D4,8.783,290640,364.0nm,20.242,580.2706666666667
PCA,parsekWT,none,3,cells,D4,3.099,9332,364.0nm,0.594,17.028
PYO,parsekWT,arabinose,1,cells,D4,5.946,95977,313.0nm,3.099,88.83800000000001
PCN,parsekWT,arabinose,1,cells,D4,8.79,323702,364.0nm,22.545,646.2900000000001
PYO,parsekWT,arabinose,2,cells,D4,5.953,67091,313.0nm,2.167,62.120666666666665
PCN,parsekWT,arabinose,2,cells,D4,8.791,301352,364.0nm,20.988,601.6560000000001
PCA,parsekWT,arabinose,2,cells,D4,3.105,9036,364.0nm,0.575,16.483333333333334
PYO,parsekWT,arabinose,3,cells,D4,5.939,108284,313.0nm,3.497,100.24733333333333
PCA,parsekWT,arabinose,3,cells,D4,3.105,9978,364.0nm,0.635,18.203333333333333
PCN,parsekWT,arabinose,3,cells,D4,8.781,317766,364.0nm,22.131,634.422
PYO,pBadPEL,none,1,cells,D4,5.956,121150,313.0nm,3.912,112.144
PCA,pBadPEL,none,1,cells,D4,3.116,7021,364.0nm,0.447,12.814
PCN,pBadPEL,none,1,cells,D4,8.797,304481,364.0nm,21.206,607.9053333333334
PYO,pBadPEL,none,2,cells,D4,5.953,113920,313.0nm,3.679,105.46466666666666
PCA,pBadPEL,none,2,cells,D4,3.115,7141,364.0nm,0.455,13.043333333333335
PCN,pBadPEL,none,2,cells,D4,8.792,303906,364.0nm,21.166,606.7586666666667
PYO,pBadPEL,none,3,cells,D4,5.96,114848,313.0nm,3.709,106.32466666666667
PCN,pBadPEL,none,3,cells,D4,8.802,333377,364.0nm,23.219,665.6113333333334
PYO,pBadPEL,arabinose,1,cells,D4,5.949,67386,313.0nm,2.176,62.378666666666675
PCA,pBadPEL,arabinose,1,cells,D4,3.11,12564,364.0nm,0.8,22.933333333333337
PCN,pBadPEL,arabinose,1,cells,D4,8.789,344031,364.0nm,23.961,686.882
PYO,pBadPEL,arabinose,2,cells,D4,5.96,83856,313.0nm,2.708,77.62933333333334
PCA,pBadPEL,arabinose,2,cells,D4,3.135,11146,364.0nm,0.71,20.35333333333333
PCN,pBadPEL,arabinose,2,cells,D4,8.8,420317,364.0nm,29.274,839.1880000000001
PYO,pBadPEL,arabinose,3,cells,D4,5.947,66844,313.0nm,2.159,61.89133333333333
PCA,pBadPEL,arabinose,3,cells,D4,3.117,9597,364.0nm,0.611,17.515333333333334
PCN,pBadPEL,arabinose,3,cells,D4,8.789,385435,364.0nm,26.844,769.528
PYO,parsekWT,arabinose,1,agar,D4,5.972,25800,313.0nm,0.833,2.6656
PCA,parsekWT,arabinose,1,agar,D4,3.137,136689,364.0nm,8.702,27.846400000000003
PCN,parsekWT,arabinose,1,agar,D4,8.817,509345,364.0nm,35.474,113.51679999999999
PYO,parsekWT,arabinose,2,agar,D4,5.959,22329,313.0nm,0.721,2.3072
PCN,parsekWT,arabinose,2,agar,D4,8.811,589526,364.0nm,41.059,131.3888
PCA,parsekWT,arabinose,2,agar,D4,3.103,148342,364.0nm,9.444,30.220800000000004
PYO,parsekWT,arabinose,3,agar,D4,5.965,25490,313.0nm,0.823,2.6336
PCA,parsekWT,arabinose,3,agar,D4,3.091,126057,364.0nm,8.025,25.680000000000003
PCN,parsekWT,arabinose,3,agar,D4,8.82,451063,364.0nm,31.415,100.528
PYO,pBadPEL,arabinose,1,agar,D4,5.962,26488,313.0nm,0.855,2.736
PCA,pBadPEL,arabinose,1,agar,D4,3.107,178924,364.0nm,11.39,36.448
PCN,pBadPEL,arabinose,1,agar,D4,8.811,810880,364.0nm,56.475,180.72000000000003
PYO,pBadPEL,arabinose,2,agar,D4,5.955,26247,313.0nm,0.848,2.7136
PCA,pBadPEL,arabinose,2,agar,D4,3.115,171914,364.0nm,10.944,35.0208
PCN,pBadPEL,arabinose,2,agar,D4,8.801,835715,364.0nm,58.205,186.256
PYO,pBadPEL,arabinose,3,agar,D4,5.95,26377,313.0nm,0.852,2.7264
PCN,pBadPEL,arabinose,3,agar,D4,8.795,703849,364.0nm,49.021,156.86720000000003
PCA,pBadPEL,arabinose,3,agar,D4,3.109,168103,364.0nm,10.702,34.2464
PYO,pBadPEL,none,1,agar,D4,5.962,30862,313.0nm,0.997,3.1904000000000003
PCA,pBadPEL,none,1,agar,D4,3.097,133915,364.0nm,8.525,27.28
PCN,pBadPEL,none,1,agar,D4,8.814,432029,364.0nm,30.089,96.2848
PCN,blank,NA,NA,NA,D4,8.885,5247,364.0nm,0.365,NA
PYO,pBadPEL,none,2,agar,D4,5.961,33682,313.0nm,1.088,3.4816000000000003
PCA,pBadPEL,none,2,agar,D4,3.446,123362,364.0nm,7.853,25.1296
PCN,pBadPEL,none,2,agar,D4,8.813,360827,364.0nm,25.13,80.416
PYO,pBadPEL,none,3,agar,D4,5.954,35492,313.0nm,1.146,3.6672
PCA,pBadPEL,none,3,agar,D4,3.433,128366,364.0nm,8.172,26.150400000000005
PCN,pBadPEL,none,3,agar,D4,8.808,363864,364.0nm,25.342,81.09440000000001
PYO,parsekWT,none,1,agar,D4,5.96,39853,313.0nm,1.287,4.1184
PCN,parsekWT,none,1,agar,D4,8.814,228591,364.0nm,15.921,50.9472
PCA,parsekWT,none,1,agar,D4,3.435,130286,364.0nm,8.294,26.540800000000004
PYO,parsekWT,none,2,agar,D4,5.966,43099,313.0nm,1.392,4.4544
PCA,parsekWT,none,2,agar,D4,3.448,124583,364.0nm,7.931,25.3792
PCN,parsekWT,none,2,agar,D4,8.822,345514,364.0nm,24.064,77.0048
PYO,parsekWT,none,3,agar,D4,5.96,34396,313.0nm,1.111,3.5552
PCA,parsekWT,none,3,agar,D4,3.427,113402,364.0nm,7.219,23.100800000000003
PCN,parsekWT,none,3,agar,D4,8.817,336495,364.0nm,23.436,74.9952
PYO,dPEL,none,1,agar,D4,5.978,36380,313.0nm,1.175,3.7600000000000002
PCA,dPEL,none,1,agar,D4,3.441,127768,364.0nm,8.134,26.028800000000004
PCN,dPEL,none,1,agar,D4,8.83,195701,364.0nm,13.63,43.61600000000001
PYO,dPEL,none,2,agar,D4,5.974,37711,313.0nm,1.218,3.8976
PCN,dPEL,none,2,agar,D4,8.829,252092,364.0nm,17.557,56.1824
PCA,dPEL,none,2,agar,D4,3.478,130435,364.0nm,8.304,26.5728
PYO,dPEL,none,3,agar,D4,5.965,41569,313.0nm,1.342,4.2944
PCA,dPEL,none,3,agar,D4,3.462,143086,364.0nm,9.109,29.1488
PCN,dPEL,none,3,agar,D4,8.818,260618,364.0nm,18.151,58.083200000000005
PYO,dPELdALG,none,1,agar,D4,5.974,24080,313.0nm,0.778,2.4896000000000003
PCA,dPELdALG,none,1,agar,D4,3.475,116456,364.0nm,7.414,23.724800000000002
PCN,dPELdALG,none,1,agar,D4,8.823,300782,364.0nm,20.949,67.03680000000001
PYO,dPELdALG,none,2,agar,D4,5.971,23267,313.0nm,0.751,2.4032
PCA,dPELdALG,none,2,agar,D4,3.444,110675,364.0nm,7.046,22.547200000000004
PCN,dPELdALG,none,2,agar,D4,8.82,448476,364.0nm,31.235,99.952
PYO,dPELdALG,none,3,agar,D4,5.982,21475,313.0nm,0.693,2.2176
PCN,dPELdALG,none,3,agar,D4,8.829,391198,364.0nm,27.246,87.1872
PCA,dPELdALG,none,3,agar,D4,3.501,106723,364.0nm,6.794,21.7408
